minute_of_day,sex,age_group,tier_code,tier_label,weighted_minutes,share
0,female,25-34,06,Education,86738570,0.000708
0,female,25-34,07,Consumer purchases,110085470,0.000899
0,female,25-34,11,Eating and drinking,826367205,0.006747
0,female,25-34,12,"Socializing, relaxing, and leisure",7568403364,0.061796
0,female,25-34,16,Telephone calls,146632260,0.001197
0,female,25-34,18,Traveling,1631057892,0.013317
0,female,25-34,50,Insufficient detail,237497311,0.001939
0,female,35-44,01,Personal care (incl. sleep),110466461028,0.905231
0,female,35-44,02,Household activities,570990660,0.004679
0,female,35-44,03,Caring for and helping household members,191612013,0.00157
0,female,35-44,05,Work and work-related activities,2100233873,0.017211
0,female,35-44,06,Education,306111805,0.002508
0,female,35-44,11,Eating and drinking,230272475,0.001887
0,female,35-44,12,"Socializing, relaxing, and leisure",6273251645,0.051407
0,female,35-44,16,Telephone calls,286629244,0.002349
0,female,35-44,18,Traveling,1166294393,0.009557
0,female,35-44,50,Insufficient detail,439367071,0.0036
0,female,45-54,01,Personal care (incl. sleep),99252112851,0.895429
0,female,45-54,02,Household activities,735409474,0.006635
0,female,45-54,03,Caring for and helping household members,418679202,0.003777
0,female,45-54,04,Caring for and helping nonhousehold members,38753087,0.00035
0,female,45-54,05,Work and work-related activities,1402161233,0.01265
0,female,45-54,07,Consumer purchases,85344490,0.00077
0,female,45-54,11,Eating and drinking,172739396,0.001558
0,female,45-54,12,"Socializing, relaxing, and leisure",7010375039,0.063246
0,female,45-54,18,Traveling,1727537202,0.015585
0,female,55-64,01,Personal care (incl. sleep),104456774882,0.90361
0,female,55-64,02,Household activities,1295038701,0.011203
0,female,55-64,05,Work and work-related activities,1095155080,0.009474
0,female,55-64,11,Eating and drinking,412868236,0.003572
0,female,55-64,12,"Socializing, relaxing, and leisure",7158253749,0.061923
0,female,55-64,14,Religious and spiritual activities,148006337,0.00128
0,female,55-64,16,Telephone calls,124699648,0.001079
0,female,55-64,18,Traveling,536274988,0.004639
0,female,55-64,50,Insufficient detail,372367998,0.003221
0,female,65+,01,Personal care (incl. sleep),162064818148,0.907718
0,female,65+,02,Household activities,1140493161,0.006388
0,female,65+,04,Caring for and helping nonhousehold members,20103421,0.000113
0,female,65+,05,Work and work-related activities,117746505,0.000659
0,female,65+,11,Eating and drinking,274768673,0.001539
0,female,65+,12,"Socializing, relaxing, and leisure",13110512285,0.073431
0,female,65+,13,"Sports, exercise, and recreation",43873404,0.000246
0,female,65+,14,Religious and spiritual activities,261089420,0.001462
0,female,65+,15,Volunteer activities,111345860,0.000624
0,female,65+,16,Telephone calls,450022475,0.002521
0,female,65+,18,Traveling,395805756,0.002217
0,female,65+,50,Insufficient detail,550404467,0.003083
15,male,15-24,01,Personal care (incl. sleep),101354475433,0.84317
15,male,15-24,05,Work and work-related activities,993101011,0.008262
15,male,15-24,06,Education,148400129,0.001235
15,male,15-24,07,Consumer purchases,84666777,0.000704
15,male,15-24,11,Eating and drinking,265818638,0.002211
15,male,15-24,12,"Socializing, relaxing, and leisure",15937993016,0.132588
15,male,15-24,16,Telephone calls,992257224,0.008255
15,male,15-24,18,Traveling,429752855,0.003575
15,male,25-34,01,Personal care (incl. sleep),103837723628,0.855131
15,male,25-34,02,Household activities,1304149225,0.01074
15,male,25-34,03,Caring for and helping household members,108401765,0.000893
15,male,25-34,05,Work and work-related activities,966619286,0.00796
15,male,25-34,06,Education,189005886,0.001557
15,male,25-34,11,Eating and drinking,546720882,0.004502
15,male,25-34,12,"Socializing, relaxing, and leisure",13175074432,0.1085
15,male,25-34,13,"Sports, exercise, and recreation",303069087,0.002496
15,male,25-34,14,Religious and spiritual activities,257488600,0.00212
15,male,25-34,16,Telephone calls,108965980,0.000897
15,male,25-34,18,Traveling,590019127,0.004859
15,male,25-34,50,Insufficient detail,41720826,0.000344
15,male,35-44,01,Personal care (incl. sleep),105140794660,0.87239
15,male,35-44,02,Household activities,455343385,0.003778
15,male,35-44,03,Caring for and helping household members,731154754,0.006067
15,male,35-44,05,Work and work-related activities,2780520458,0.023071
15,male,35-44,06,Education,275322365,0.002284
15,male,35-44,11,Eating and drinking,380408337,0.003156
15,male,35-44,12,"Socializing, relaxing, and leisure",10500018293,0.087122
15,male,35-44,18,Traveling,187246252,0.001554
15,male,35-44,50,Insufficient detail,69641118,0.000578
15,male,45-54,01,Personal care (incl. sleep),97133821259,0.891672
15,male,45-54,02,Household activities,360459353,0.003309
15,male,45-54,04,Caring for and helping nonhousehold members,17135506,0.000157
15,male,45-54,05,Work and work-related activities,3375343709,0.030985
15,male,45-54,11,Eating and drinking,559358892,0.005135
15,male,45-54,12,"Socializing, relaxing, and leisure",6860380293,0.062977
15,male,45-54,14,Religious and spiritual activities,329482439,0.003025
15,male,45-54,15,Volunteer activities,117362890,0.001077
15,male,45-54,16,Telephone calls,181147562,0.001663
15,male,55-64,01,Personal care (incl. sleep),97153069191,0.877693
15,male,55-64,02,Household activities,793030370,0.007164
15,male,55-64,03,Caring for and helping household members,314904091,0.002845
15,male,55-64,05,Work and work-related activities,3060709980,0.027651
15,male,55-64,07,Consumer purchases,80747137,0.000729
15,male,55-64,11,Eating and drinking,776045815,0.007011
15,male,55-64,12,"Socializing, relaxing, and leisure",7468645890,0.067473
15,male,55-64,13,"Sports, exercise, and recreation",164332505,0.001485
15,male,55-64,18,Traveling,624906167,0.005645
15,male,55-64,50,Insufficient detail,255067093,0.002304
15,male,65+,01,Personal care (incl. sleep),138891911831,0.92942
15,male,65+,02,Household activities,570759264,0.003819
15,male,65+,05,Work and work-related activities,119921860,0.000802
15,male,65+,11,Eating and drinking,497069069,0.003326
15,male,65+,12,"Socializing, relaxing, and leisure",8197073630,0.054852
15,male,65+,13,"Sports, exercise, and recreation",528912346,0.003539
15,male,65+,14,Religious and spiritual activities,192215586,0.001286
15,male,65+,18,Traveling,385572324,0.00258
15,male,65+,50,Insufficient detail,55842421,0.000374
15,female,15-24,01,Personal care (incl. sleep),99654535492,0.847555
15,female,15-24,02,Household activities,90582589,0.00077
15,female,15-24,03,Caring for and helping household members,111152487,0.000945
15,female,15-24,05,Work and work-related activities,272797539,0.00232
15,female,15-24,06,Education,1579143242,0.013431
15,female,15-24,11,Eating and drinking,286623729,0.002438
15,female,15-24,12,"Socializing, relaxing, and leisure",12295418405,0.104572
15,female,15-24,16,Telephone calls,1846133487,0.015701
15,female,15-24,18,Traveling,1442418594,0.012268
15,female,25-34,01,Personal care (incl. sleep),110520740474,0.902395
15,female,25-34,02,Household activities,384616400,0.00314
15,female,25-34,03,Caring for and helping household members,982477201,0.008022
15,female,25-34,05,Work and work-related activities,873065594,0.007129
15,female,25-34,06,Education,86738570,0.000708
15,female,25-34,07,Consumer purchases,59276792,0.000484
15,female,25-34,11,Eating and drinking,1004416668,0.008201
15,female,25-34,12,"Socializing, relaxing, and leisure",7519559444,0.061397
15,female,25-34,16,Telephone calls,146632260,0.001197
15,female,25-34,18,Traveling,897343500,0.007327
15,female,35-44,01,Personal care (incl. sleep),111801331249,0.91617
15,female,35-44,02,Household activities,191472423,0.001569
15,female,35-44,03,Caring for and helping household members,166495674,0.001364
15,female,35-44,05,Work and work-related activities,2144502283,0.017573
15,female,35-44,06,Education,306111805,0.002508
15,female,35-44,11,Eating and drinking,70631669,0.000579
15,female,35-44,12,"Socializing, relaxing, and leisure",5922279858,0.048531
15,female,35-44,16,Telephone calls,286629244,0.002349
15,female,35-44,18,Traveling,662199810,0.005426
15,female,35-44,50,Insufficient detail,479570192,0.00393
15,female,45-54,01,Personal care (incl. sleep),100768236987,0.909107
15,female,45-54,02,Household activities,772077048,0.006965
15,female,45-54,03,Caring for and helping household members,338094674,0.00305
15,female,45-54,05,Work and work-related activities,1249882711,0.011276
15,female,45-54,07,Consumer purchases,85344490,0.00077
15,female,45-54,11,Eating and drinking,545656997,0.004923
15,female,45-54,12,"Socializing, relaxing, and leisure",6208786104,0.056014
15,female,45-54,16,Telephone calls,174509130,0.001574
15,female,45-54,18,Traveling,700523833,0.00632
15,female,55-64,01,Personal care (incl. sleep),105989337175,0.916867
15,female,55-64,02,Household activities,877669234,0.007592
15,female,55-64,05,Work and work-related activities,1046572120,0.009053
15,female,55-64,11,Eating and drinking,412868236,0.003572
15,female,55-64,12,"Socializing, relaxing, and leisure",6826437901,0.059053
15,female,55-64,18,Traveling,446554954,0.003863
15,female,65+,01,Personal care (incl. sleep),163641459615,0.916548
15,female,65+,02,Household activities,913710337,0.005118
15,female,65+,05,Work and work-related activities,117746505,0.000659
15,female,65+,11,Eating and drinking,359292339,0.002012
15,female,65+,12,"Socializing, relaxing, and leisure",12235129187,0.068528
15,female,65+,14,Religious and spiritual activities,170809340,0.000957
15,female,65+,15,Volunteer activities,111345860,0.000624
15,female,65+,16,Telephone calls,249148586,0.001395
15,female,65+,18,Traveling,235262704,0.001318
15,female,65+,50,Insufficient detail,507079102,0.00284
30,male,15-24,01,Personal care (incl. sleep),104507131651,0.869397
30,male,15-24,02,Household activities,226842634,0.001887
30,male,15-24,05,Work and work-related activities,908434234,0.007557
30,male,15-24,07,Consumer purchases,84666777,0.000704
30,male,15-24,11,Eating and drinking,317998843,0.002645
30,male,15-24,12,"Socializing, relaxing, and leisure",12706894293,0.105709
30,male,15-24,16,Telephone calls,992257224,0.008255
30,male,15-24,18,Traveling,462239428,0.003845
30,male,25-34,01,Personal care (incl. sleep),107357898862,0.884121
30,male,25-34,02,Household activities,842831224,0.006941
30,male,25-34,03,Caring for and helping household members,108401765,0.000893
30,male,25-34,05,Work and work-related activities,713526353,0.005876
30,male,25-34,06,Education,189005886,0.001557
30,male,25-34,11,Eating and drinking,893616057,0.007359
30,male,25-34,12,"Socializing, relaxing, and leisure",10008181199,0.08242
30,male,25-34,13,"Sports, exercise, and recreation",303069087,0.002496
30,male,25-34,14,Religious and spiritual activities,257488600,0.00212
30,male,25-34,18,Traveling,713218863,0.005874
30,male,25-34,50,Insufficient detail,41720826,0.000344
30,male,35-44,01,Personal care (incl. sleep),107238505135,0.889795
30,male,35-44,02,Household activities,207346999,0.00172
30,male,35-44,03,Caring for and helping household members,747012553,0.006198
30,male,35-44,05,Work and work-related activities,2424481949,0.020117
30,male,35-44,06,Education,236805382,0.001965
30,male,35-44,11,Eating and drinking,69271114,0.000575
30,male,35-44,12,"Socializing, relaxing, and leisure",9093892005,0.075455
30,male,35-44,18,Traveling,433493367,0.003597
30,male,35-44,50,Insufficient detail,69641118,0.000578
30,male,45-54,01,Personal care (incl. sleep),98595397557,0.905089
30,male,45-54,02,Household activities,232002336,0.00213
30,male,45-54,05,Work and work-related activities,3052784318,0.028024
30,male,45-54,11,Eating and drinking,544427055,0.004998
30,male,45-54,12,"Socializing, relaxing, and leisure",5826698610,0.053488
30,male,45-54,14,Religious and spiritual activities,329482439,0.003025
30,male,45-54,15,Volunteer activities,117362890,0.001077
30,male,45-54,16,Telephone calls,181147562,0.001663
30,male,45-54,18,Traveling,55189137,0.000507
30,male,55-64,01,Personal care (incl. sleep),99782128909,0.901444
30,male,55-64,02,Household activities,732900415,0.006621
30,male,55-64,03,Caring for and helping household members,314904091,0.002845
30,male,55-64,05,Work and work-related activities,3466746328,0.031319
30,male,55-64,07,Consumer purchases,80747137,0.000729
30,male,55-64,12,"Socializing, relaxing, and leisure",5834818808,0.052712
30,male,55-64,18,Traveling,419082595,0.003786
30,male,55-64,50,Insufficient detail,60129955,0.000543
30,male,65+,01,Personal care (incl. sleep),141300746271,0.94554
30,male,65+,02,Household activities,540005012,0.003614
30,male,65+,05,Work and work-related activities,119921860,0.000802
30,male,65+,11,Eating and drinking,467069516,0.003125
30,male,65+,12,"Socializing, relaxing, and leisure",6044759345,0.04045
30,male,65+,13,"Sports, exercise, and recreation",528912346,0.003539
30,male,65+,14,Religious and spiritual activities,192215586,0.001286
30,male,65+,18,Traveling,161884764,0.001083
30,male,65+,50,Insufficient detail,83763632,0.000561
30,female,15-24,01,Personal care (incl. sleep),103785259756,0.882687
30,female,15-24,02,Household activities,90582589,0.00077
30,female,15-24,03,Caring for and helping household members,47686974,0.000406
30,female,15-24,05,Work and work-related activities,272797539,0.00232
30,female,15-24,06,Education,1579143242,0.013431
30,female,15-24,11,Eating and drinking,88018051,0.000749
30,female,15-24,12,"Socializing, relaxing, and leisure",9134932277,0.077692
30,female,15-24,16,Telephone calls,1496009498,0.012723
30,female,15-24,18,Traveling,1084375640,0.009223
30,female,25-34,01,Personal care (incl. sleep),113246554210,0.924651
30,female,25-34,02,Household activities,384616400,0.00314
30,female,25-34,03,Caring for and helping household members,966011503,0.007887
30,female,25-34,05,Work and work-related activities,873065594,0.007129
30,female,25-34,06,Education,86738570,0.000708
30,female,25-34,11,Eating and drinking,271409521,0.002216
30,female,25-34,12,"Socializing, relaxing, and leisure",6474434506,0.052863
30,female,25-34,16,Telephone calls,146632260,0.001197
30,female,25-34,18,Traveling,25404339,0.000207
30,female,35-44,01,Personal care (incl. sleep),113877077232,0.93318
30,female,35-44,02,Household activities,438108855,0.00359
30,female,35-44,03,Caring for and helping household members,358395025,0.002937
30,female,35-44,05,Work and work-related activities,2896688107,0.023737
30,female,35-44,12,"Socializing, relaxing, and leisure",3969767730,0.032531
30,female,35-44,16,Telephone calls,286629244,0.002349
30,female,35-44,18,Traveling,204558014,0.001676
30,female,45-54,01,Personal care (incl. sleep),102427231345,0.924074
30,female,45-54,02,Household activities,822907052,0.007424
30,female,45-54,03,Caring for and helping household members,338094674,0.00305
30,female,45-54,05,Work and work-related activities,1083246498,0.009773
30,female,45-54,11,Eating and drinking,359198197,0.003241
30,female,45-54,12,"Socializing, relaxing, and leisure",5253899061,0.047399
30,female,45-54,16,Telephone calls,523527391,0.004723
30,female,45-54,50,Insufficient detail,35007758,0.000316
30,female,55-64,01,Personal care (incl. sleep),107567671895,0.930521
30,female,55-64,02,Household activities,614181499,0.005313
30,female,55-64,05,Work and work-related activities,987308065,0.008541
30,female,55-64,11,Eating and drinking,204896504,0.001772
30,female,55-64,12,"Socializing, relaxing, and leisure",5778826703,0.04999
30,female,55-64,18,Traveling,446554954,0.003863
30,female,65+,01,Personal care (incl. sleep),166414057142,0.932078
30,female,65+,02,Household activities,535725151,0.003001
30,female,65+,05,Work and work-related activities,67832979,0.00038
30,female,65+,11,Eating and drinking,199257085,0.001116
30,female,65+,12,"Socializing, relaxing, and leisure",10357475803,0.058012
30,female,65+,14,Religious and spiritual activities,227749529,0.001276
30,female,65+,15,Volunteer activities,111345860,0.000624
30,female,65+,16,Telephone calls,327993110,0.001837
30,female,65+,18,Traveling,187042732,0.001048
30,female,65+,50,Insufficient detail,112504184,0.00063
45,male,15-24,01,Personal care (incl. sleep),105390669200,0.876747
45,male,15-24,02,Household activities,453685268,0.003774
45,male,15-24,05,Work and work-related activities,908434234,0.007557
45,male,15-24,11,Eating and drinking,546161183,0.004544
45,male,15-24,12,"Socializing, relaxing, and leisure",11852052694,0.098597
45,male,15-24,16,Telephone calls,906052194,0.007537
45,male,15-24,18,Traveling,149410310,0.001243
45,male,25-34,01,Personal care (incl. sleep),108726758924,0.895394
45,male,25-34,02,Household activities,712373107,0.005867
45,male,25-34,03,Caring for and helping household members,108401765,0.000893
45,male,25-34,05,Work and work-related activities,481549643,0.003966
45,male,25-34,06,Education,189005886,0.001557
45,male,25-34,11,Eating and drinking,390287240,0.003214
45,male,25-34,12,"Socializing, relaxing, and leisure",9611822627,0.079156
45,male,25-34,13,"Sports, exercise, and recreation",303069087,0.002496
45,male,25-34,14,Religious and spiritual activities,257488600,0.00212
45,male,25-34,18,Traveling,606481018,0.004995
45,male,25-34,50,Insufficient detail,41720826,0.000344
45,male,35-44,01,Personal care (incl. sleep),107927386402,0.895511
45,male,35-44,02,Household activities,169708833,0.001408
45,male,35-44,03,Caring for and helping household members,747012553,0.006198
45,male,35-44,05,Work and work-related activities,2208603229,0.018326
45,male,35-44,06,Education,236805382,0.001965
45,male,35-44,12,"Socializing, relaxing, and leisure",8764980363,0.072726
45,male,35-44,18,Traveling,396311743,0.003288
45,male,35-44,50,Insufficient detail,69641118,0.000578
45,male,45-54,01,Personal care (incl. sleep),98863975755,0.907554
45,male,45-54,02,Household activities,261480338,0.0024
45,male,45-54,05,Work and work-related activities,3052784318,0.028024
45,male,45-54,11,Eating and drinking,517977236,0.004755
45,male,45-54,12,"Socializing, relaxing, and leisure",5610281365,0.051501
45,male,45-54,13,"Sports, exercise, and recreation",24153008,0.000222
45,male,45-54,14,Religious and spiritual activities,329482439,0.003025
45,male,45-54,15,Volunteer activities,117362890,0.001077
45,male,45-54,16,Telephone calls,156994554,0.001441
45,male,55-64,01,Personal care (incl. sleep),100185591298,0.905089
45,male,55-64,02,Household activities,732900415,0.006621
45,male,55-64,03,Caring for and helping household members,314904091,0.002845
45,male,55-64,05,Work and work-related activities,3466746328,0.031319
45,male,55-64,07,Consumer purchases,80747137,0.000729
45,male,55-64,12,"Socializing, relaxing, and leisure",5722739783,0.0517
45,male,55-64,18,Traveling,127699231,0.001154
45,male,55-64,50,Insufficient detail,60129955,0.000543
45,male,65+,01,Personal care (incl. sleep),141644749872,0.947842
45,male,65+,02,Household activities,540005012,0.003614
45,male,65+,05,Work and work-related activities,119921860,0.000802
45,male,65+,11,Eating and drinking,346838722,0.002321
45,male,65+,12,"Socializing, relaxing, and leisure",5854419878,0.039176
45,male,65+,13,"Sports, exercise, and recreation",528912346,0.003539
45,male,65+,14,Religious and spiritual activities,192215586,0.001286
45,male,65+,18,Traveling,128451423,0.00086
45,male,65+,50,Insufficient detail,83763632,0.000561
45,female,15-24,01,Personal care (incl. sleep),105272958906,0.89534
45,female,15-24,02,Household activities,90582589,0.00077
45,female,15-24,04,Caring for and helping nonhousehold members,15462445,0.000132
45,female,15-24,05,Work and work-related activities,272797539,0.00232
45,female,15-24,06,Education,1808434654,0.015381
45,female,15-24,12,"Socializing, relaxing, and leisure",7520430963,0.063961
45,female,15-24,16,Telephone calls,1393164148,0.011849
45,female,15-24,18,Traveling,1204974321,0.010248
45,female,25-34,01,Personal care (incl. sleep),114450649702,0.934483
45,female,25-34,02,Household activities,384616400,0.00314
45,female,25-34,03,Caring for and helping household members,70765453,0.000578
45,female,25-34,05,Work and work-related activities,873065594,0.007129
45,female,25-34,06,Education,86738570,0.000708
45,female,25-34,11,Eating and drinking,123532395,0.001009
45,female,25-34,12,"Socializing, relaxing, and leisure",6279589738,0.051272
45,female,25-34,16,Telephone calls,146632260,0.001197
45,female,25-34,18,Traveling,59276792,0.000484
45,female,35-44,01,Personal care (incl. sleep),114478130403,0.938105
45,female,35-44,02,Household activities,67811467,0.000556
45,female,35-44,03,Caring for and helping household members,403866077,0.00331
45,female,35-44,05,Work and work-related activities,2852419698,0.023375
45,female,35-44,12,"Socializing, relaxing, and leisure",3486198098,0.028568
45,female,35-44,14,Religious and spiritual activities,306111805,0.002508
45,female,35-44,16,Telephone calls,286629244,0.002349
45,female,35-44,18,Traveling,150057415,0.00123
45,female,45-54,01,Personal care (incl. sleep),103194900771,0.931
45,female,45-54,02,Household activities,402034997,0.003627
45,female,45-54,03,Caring for and helping household members,338094674,0.00305
45,female,45-54,05,Work and work-related activities,1265563964,0.011418
45,female,45-54,11,Eating and drinking,212765558,0.00192
45,female,45-54,12,"Socializing, relaxing, and leisure",4836209103,0.043631
45,female,45-54,16,Telephone calls,523527391,0.004723
45,female,45-54,50,Insufficient detail,70015516,0.000632
45,female,55-64,01,Personal care (incl. sleep),107970598635,0.934006
45,female,55-64,02,Household activities,669326552,0.00579
45,female,55-64,05,Work and work-related activities,987308065,0.008541
45,female,55-64,11,Eating and drinking,204896504,0.001772
45,female,55-64,12,"Socializing, relaxing, and leisure",5406666013,0.046771
45,female,55-64,18,Traveling,196436962,0.001699
45,female,55-64,50,Insufficient detail,164206887,0.00142
45,female,65+,01,Personal care (incl. sleep),167606428598,0.938756
45,female,65+,02,Household activities,635206171,0.003558
45,female,65+,03,Caring for and helping household members,61554647,0.000345
45,female,65+,05,Work and work-related activities,67832979,0.00038
45,female,65+,11,Eating and drinking,33252487,0.000186
45,female,65+,12,"Socializing, relaxing, and leisure",9325009883,0.052229
45,female,65+,14,Religious and spiritual activities,245835545,0.001377
45,female,65+,15,Volunteer activities,68901224,0.000386
45,female,65+,16,Telephone calls,394498085,0.00221
45,female,65+,18,Traveling,45244180,0.000253
45,female,65+,50,Insufficient detail,57219776,0.00032
60,male,15-24,01,Personal care (incl. sleep),109879442962,0.914089
60,male,15-24,05,Work and work-related activities,1174252872,0.009769
60,male,15-24,11,Eating and drinking,143495563,0.001194
60,male,15-24,12,"Socializing, relaxing, and leisure",8267023250,0.068774
60,male,15-24,16,Telephone calls,592840126,0.004932
60,male,15-24,18,Traveling,149410310,0.001243
60,male,25-34,01,Personal care (incl. sleep),111996045214,0.922317
60,male,25-34,02,Household activities,529874970,0.004364
60,male,25-34,03,Caring for and helping household members,468846147,0.003861
60,male,25-34,05,Work and work-related activities,481549643,0.003966
60,male,25-34,11,Eating and drinking,988806478,0.008143
60,male,25-34,12,"Socializing, relaxing, and leisure",5740884187,0.047278
60,male,25-34,14,Religious and spiritual activities,257488600,0.00212
60,male,25-34,18,Traveling,923742658,0.007607
60,male,25-34,50,Insufficient detail,41720826,0.000344
60,male,35-44,01,Personal care (incl. sleep),110134708922,0.913826
60,male,35-44,02,Household activities,301721566,0.002503
60,male,35-44,03,Caring for and helping household members,468574726,0.003888
60,male,35-44,05,Work and work-related activities,1658865345,0.013764
60,male,35-44,06,Education,236805382,0.001965
60,male,35-44,11,Eating and drinking,248099149,0.002059
60,male,35-44,12,"Socializing, relaxing, and leisure",6987115400,0.057975
60,male,35-44,18,Traveling,414918015,0.003443
60,male,35-44,50,Insufficient detail,69641118,0.000578
60,male,45-54,01,Personal care (incl. sleep),100977177541,0.926953
60,male,45-54,02,Household activities,41460266,0.000381
60,male,45-54,05,Work and work-related activities,2124080773,0.019499
60,male,45-54,11,Eating and drinking,215371628,0.001977
60,male,45-54,12,"Socializing, relaxing, and leisure",3671435761,0.033703
60,male,45-54,13,"Sports, exercise, and recreation",181147562,0.001663
60,male,45-54,14,Religious and spiritual activities,329482439,0.003025
60,male,45-54,15,Volunteer activities,117362890,0.001077
60,male,45-54,18,Traveling,1276973042,0.011722
60,male,55-64,01,Personal care (incl. sleep),101837472408,0.920012
60,male,55-64,02,Household activities,230189422,0.00208
60,male,55-64,03,Caring for and helping household members,314904091,0.002845
60,male,55-64,05,Work and work-related activities,3357301938,0.03033
60,male,55-64,11,Eating and drinking,148017175,0.001337
60,male,55-64,12,"Socializing, relaxing, and leisure",4803573203,0.043396
60,male,65+,01,Personal care (incl. sleep),142970997730,0.956716
60,male,65+,02,Household activities,581500007,0.003891
60,male,65+,03,Caring for and helping household members,96473332,0.000646
60,male,65+,05,Work and work-related activities,164088065,0.001098
60,male,65+,11,Eating and drinking,616046334,0.004122
60,male,65+,12,"Socializing, relaxing, and leisure",4535327170,0.030349
60,male,65+,13,"Sports, exercise, and recreation",154178684,0.001032
60,male,65+,14,Religious and spiritual activities,192215586,0.001286
60,male,65+,18,Traveling,128451423,0.00086
60,female,15-24,01,Personal care (incl. sleep),107487589406,0.914175
60,female,15-24,02,Household activities,303937057,0.002585
60,female,15-24,05,Work and work-related activities,272797539,0.00232
60,female,15-24,06,Education,543454722,0.004622
60,female,15-24,12,"Socializing, relaxing, and leisure",6603021524,0.056158
60,female,15-24,16,Telephone calls,1882939968,0.016014
60,female,15-24,18,Traveling,485065349,0.004125
60,female,25-34,01,Personal care (incl. sleep),116282259251,0.949438
60,female,25-34,02,Household activities,84085924,0.000687
60,female,25-34,03,Caring for and helping household members,535432550,0.004372
60,female,25-34,04,Caring for and helping nonhousehold members,248455691,0.002029
60,female,25-34,05,Work and work-related activities,873065594,0.007129
60,female,25-34,11,Eating and drinking,123532395,0.001009
