minute_of_day,diary_minute,tier_code,tier_label,weighted_minutes,share
3,1203,05,Work and work-related activities,1115536364,0.011168
3,1203,06,Education,207358333,0.002076
3,1203,07,Consumer purchases,19540888,0.000196
3,1203,11,Eating and drinking,387153794,0.003876
3,1203,12,"Socializing, relaxing, and leisure",8122616245,0.081319
3,1203,13,"Sports, exercise, and recreation",75195610,0.000753
3,1203,14,Religious and spiritual activities,68276132,0.000684
3,1203,15,Volunteer activities,15247250,0.000153
3,1203,16,Telephone calls,428829614,0.004293
3,1203,18,Traveling,837997461,0.00839
3,1203,50,Insufficient detail,153701846,0.001539
4,1204,01,Personal care (incl. sleep),87618240844,0.877183
4,1204,02,Household activities,637865681,0.006386
4,1204,03,Caring for and helping household members,177690165,0.001779
4,1204,05,Work and work-related activities,1115536364,0.011168
4,1204,06,Education,207358333,0.002076
4,1204,07,Consumer purchases,19540888,0.000196
4,1204,11,Eating and drinking,387153794,0.003876
4,1204,12,"Socializing, relaxing, and leisure",8138309080,0.081476
4,1204,13,"Sports, exercise, and recreation",75195610,0.000753
4,1204,14,Religious and spiritual activities,68276132,0.000684
4,1204,15,Volunteer activities,15247250,0.000153
4,1204,16,Telephone calls,428829614,0.004293
4,1204,18,Traveling,837997461,0.00839
4,1204,50,Insufficient detail,158727702,0.001589
5,1205,01,Personal care (incl. sleep),88013549230,0.88114
5,1205,02,Household activities,575009289,0.005757
5,1205,03,Caring for and helping household members,153290566,0.001535
5,1205,05,Work and work-related activities,1108086916,0.011094
5,1205,06,Education,207358333,0.002076
5,1205,07,Consumer purchases,19540888,0.000196
5,1205,11,Eating and drinking,405779210,0.004062
5,1205,12,"Socializing, relaxing, and leisure",8005372511,0.080145
5,1205,13,"Sports, exercise, and recreation",66420929,0.000665
5,1205,14,Religious and spiritual activities,83623850,0.000837
5,1205,15,Volunteer activities,15247250,0.000153
5,1205,16,Telephone calls,296821289,0.002972
5,1205,18,Traveling,777140953,0.00778
5,1205,50,Insufficient detail,158727702,0.001589
6,1206,01,Personal care (incl. sleep),87997904563,0.880984
6,1206,02,Household activities,575009289,0.005757
6,1206,03,Caring for and helping household members,153290566,0.001535
6,1206,05,Work and work-related activities,1108086916,0.011094
6,1206,06,Education,207358333,0.002076
6,1206,07,Consumer purchases,19540888,0.000196
6,1206,11,Eating and drinking,405779210,0.004062
6,1206,12,"Socializing, relaxing, and leisure",8005372511,0.080145
6,1206,13,"Sports, exercise, and recreation",66420929,0.000665
6,1206,14,Religious and spiritual activities,83623850,0.000837
6,1206,15,Volunteer activities,15247250,0.000153
6,1206,16,Telephone calls,312465956,0.003128
6,1206,18,Traveling,777140953,0.00778
6,1206,50,Insufficient detail,158727702,0.001589
7,1207,01,Personal care (incl. sleep),88046498433,0.88147
7,1207,02,Household activities,580677147,0.005813
7,1207,03,Caring for and helping household members,143676249,0.001438
7,1207,05,Work and work-related activities,1108086916,0.011094
7,1207,06,Education,207358333,0.002076
7,1207,07,Consumer purchases,19540888,0.000196
7,1207,11,Eating and drinking,384810751,0.003853
7,1207,12,"Socializing, relaxing, and leisure",7987361417,0.079965
7,1207,13,"Sports, exercise, and recreation",66420929,0.000665
7,1207,14,Religious and spiritual activities,77955992,0.00078
7,1207,15,Volunteer activities,15247250,0.000153
7,1207,16,Telephone calls,312465956,0.003128
7,1207,18,Traveling,777140953,0.00778
7,1207,50,Insufficient detail,158727702,0.001589
8,1208,01,Personal care (incl. sleep),88069877775,0.881704
8,1208,02,Household activities,580677147,0.005813
8,1208,03,Caring for and helping household members,143676249,0.001438
8,1208,05,Work and work-related activities,1108086916,0.011094
8,1208,06,Education,207358333,0.002076
8,1208,07,Consumer purchases,19540888,0.000196
8,1208,11,Eating and drinking,377124244,0.003776
8,1208,12,"Socializing, relaxing, and leisure",7971668583,0.079808
8,1208,13,"Sports, exercise, and recreation",66420929,0.000665
8,1208,14,Religious and spiritual activities,77955992,0.00078
8,1208,15,Volunteer activities,15247250,0.000153
8,1208,16,Telephone calls,312465956,0.003128
8,1208,18,Traveling,777140953,0.00778
8,1208,50,Insufficient detail,158727702,0.001589
9,1209,01,Personal care (incl. sleep),88085099412,0.881857
9,1209,02,Household activities,580677147,0.005813
9,1209,03,Caring for and helping household members,143676249,0.001438
9,1209,05,Work and work-related activities,1113005628,0.011143
9,1209,06,Education,207358333,0.002076
9,1209,07,Consumer purchases,19540888,0.000196
9,1209,11,Eating and drinking,366988961,0.003674
9,1209,12,"Socializing, relaxing, and leisure",7965383750,0.079745
9,1209,13,"Sports, exercise, and recreation",66420929,0.000665
9,1209,14,Religious and spiritual activities,77955992,0.00078
9,1209,15,Volunteer activities,15247250,0.000153
9,1209,16,Telephone calls,298610440,0.00299
9,1209,18,Traveling,787276236,0.007882
9,1209,50,Insufficient detail,158727702,0.001589
10,1210,01,Personal care (incl. sleep),88318905822,0.884197
10,1210,02,Household activities,556738757,0.005574
10,1210,03,Caring for and helping household members,156805655,0.00157
10,1210,04,Caring for and helping nonhousehold members,7750617,0.000078
10,1210,05,Work and work-related activities,1132712179,0.01134
10,1210,06,Education,195036111,0.001953
10,1210,07,Consumer purchases,19540888,0.000196
10,1210,11,Eating and drinking,362860185,0.003633
10,1210,12,"Socializing, relaxing, and leisure",7851492287,0.078605
10,1210,13,"Sports, exercise, and recreation",66420929,0.000665
10,1210,14,Religious and spiritual activities,67191714,0.000673
10,1210,15,Volunteer activities,15247250,0.000153
10,1210,16,Telephone calls,301421510,0.003018
10,1210,18,Traveling,681460189,0.006822
10,1210,50,Insufficient detail,152384823,0.001526
11,1211,01,Personal care (incl. sleep),88318905822,0.884197
11,1211,02,Household activities,556738757,0.005574
11,1211,03,Caring for and helping household members,156805655,0.00157
11,1211,04,Caring for and helping nonhousehold members,7750617,0.000078
11,1211,05,Work and work-related activities,1132712179,0.01134
11,1211,06,Education,195036111,0.001953
11,1211,07,Consumer purchases,19540888,0.000196
11,1211,11,Eating and drinking,362860185,0.003633
11,1211,12,"Socializing, relaxing, and leisure",7851492287,0.078605
11,1211,13,"Sports, exercise, and recreation",66420929,0.000665
11,1211,14,Religious and spiritual activities,67191714,0.000673
11,1211,15,Volunteer activities,15247250,0.000153
11,1211,16,Telephone calls,301421510,0.003018
11,1211,18,Traveling,681460189,0.006822
11,1211,50,Insufficient detail,152384823,0.001526
12,1212,01,Personal care (incl. sleep),88294861630,0.883957
12,1212,02,Household activities,562406615,0.00563
12,1212,03,Caring for and helping household members,156805655,0.00157
12,1212,04,Caring for and helping nonhousehold members,7750617,0.000078
12,1212,05,Work and work-related activities,1127044321,0.011283
12,1212,06,Education,195036111,0.001953
12,1212,07,Consumer purchases,19540888,0.000196
12,1212,11,Eating and drinking,362860185,0.003633
12,1212,12,"Socializing, relaxing, and leisure",7875536478,0.078845
12,1212,13,"Sports, exercise, and recreation",66420929,0.000665
12,1212,14,Religious and spiritual activities,67191714,0.000673
12,1212,15,Volunteer activities,15247250,0.000153
12,1212,16,Telephone calls,301421510,0.003018
12,1212,18,Traveling,681460189,0.006822
12,1212,50,Insufficient detail,152384823,0.001526
13,1213,01,Personal care (incl. sleep),88309969484,0.884108
13,1213,02,Household activities,555170747,0.005558
13,1213,03,Caring for and helping household members,156805655,0.00157
13,1213,04,Caring for and helping nonhousehold members,7750617,0.000078
13,1213,05,Work and work-related activities,1134280190,0.011356
13,1213,06,Education,195036111,0.001953
13,1213,07,Consumer purchases,19540888,0.000196
13,1213,11,Eating and drinking,356924259,0.003573
13,1213,12,"Socializing, relaxing, and leisure",7887411924,0.078964
13,1213,13,"Sports, exercise, and recreation",66420929,0.000665
13,1213,14,Religious and spiritual activities,67191714,0.000673
13,1213,15,Volunteer activities,15247250,0.000153
13,1213,16,Telephone calls,301421510,0.003018
13,1213,18,Traveling,660412816,0.006612
13,1213,50,Insufficient detail,152384823,0.001526
14,1214,01,Personal care (incl. sleep),88329572365,0.884304
14,1214,02,Household activities,555170747,0.005558
14,1214,03,Caring for and helping household members,156805655,0.00157
14,1214,04,Caring for and helping nonhousehold members,7750617,0.000078
14,1214,05,Work and work-related activities,1134280190,0.011356
14,1214,06,Education,195036111,0.001953
14,1214,07,Consumer purchases,19540888,0.000196
14,1214,11,Eating and drinking,356924259,0.003573
14,1214,12,"Socializing, relaxing, and leisure",7867809043,0.078768
14,1214,13,"Sports, exercise, and recreation",66420929,0.000665
14,1214,14,Religious and spiritual activities,67191714,0.000673
14,1214,15,Volunteer activities,15247250,0.000153
14,1214,16,Telephone calls,301421510,0.003018
14,1214,18,Traveling,660412816,0.006612
14,1214,50,Insufficient detail,152384823,0.001526
15,1215,01,Personal care (incl. sleep),88756531018,0.888579
15,1215,02,Household activities,436664066,0.004372
15,1215,03,Caring for and helping household members,187129180,0.001873
15,1215,04,Caring for and helping nonhousehold members,3427101,0.000034
15,1215,05,Work and work-related activities,1144674441,0.01146
15,1215,06,Education,195036111,0.001953
15,1215,07,Consumer purchases,19540888,0.000196
15,1215,11,Eating and drinking,355087195,0.003555
15,1215,12,"Socializing, relaxing, and leisure",7684608424,0.076934
15,1215,13,"Sports, exercise, and recreation",66420929,0.000665
15,1215,14,Religious and spiritual activities,59969625,0.0006
15,1215,15,Volunteer activities,15247250,0.000153
15,1215,16,Telephone calls,277362163,0.002777
15,1215,18,Traveling,576643950,0.005773
15,1215,50,Insufficient detail,107626575,0.001077
16,1216,01,Personal care (incl. sleep),88790140630,0.888915
16,1216,02,Household activities,436664066,0.004372
16,1216,03,Caring for and helping household members,187129180,0.001873
16,1216,04,Caring for and helping nonhousehold members,3427101,0.000034
16,1216,05,Work and work-related activities,1144674441,0.01146
16,1216,06,Education,195036111,0.001953
16,1216,07,Consumer purchases,19540888,0.000196
16,1216,11,Eating and drinking,359526180,0.003599
16,1216,12,"Socializing, relaxing, and leisure",7671676167,0.076804
16,1216,13,"Sports, exercise, and recreation",66420929,0.000665
16,1216,14,Religious and spiritual activities,59969625,0.0006
16,1216,15,Volunteer activities,15247250,0.000153
16,1216,16,Telephone calls,277362163,0.002777
16,1216,18,Traveling,551527611,0.005522
16,1216,50,Insufficient detail,107626575,0.001077
17,1217,01,Personal care (incl. sleep),88810242190,0.889116
17,1217,02,Household activities,431230838,0.004317
17,1217,03,Caring for and helping household members,187129180,0.001873
17,1217,04,Caring for and helping nonhousehold members,3427101,0.000034
17,1217,05,Work and work-related activities,1144674441,0.01146
17,1217,06,Education,195036111,0.001953
17,1217,07,Consumer purchases,19540888,0.000196
17,1217,11,Eating and drinking,364959408,0.003654
17,1217,12,"Socializing, relaxing, and leisure",7671676167,0.076804
17,1217,13,"Sports, exercise, and recreation",66420929,0.000665
17,1217,14,Religious and spiritual activities,59969625,0.0006
17,1217,15,Volunteer activities,15247250,0.000153
17,1217,16,Telephone calls,277362163,0.002777
17,1217,18,Traveling,551527611,0.005522
17,1217,50,Insufficient detail,87525014,0.000876
18,1218,01,Personal care (incl. sleep),88825315005,0.889267
18,1218,02,Household activities,436225913,0.004367
18,1218,03,Caring for and helping household members,187129180,0.001873
18,1218,04,Caring for and helping nonhousehold members,3427101,0.000034
18,1218,05,Work and work-related activities,1144674441,0.01146
18,1218,06,Education,195036111,0.001953
18,1218,07,Consumer purchases,19540888,0.000196
18,1218,11,Eating and drinking,364959408,0.003654
18,1218,12,"Socializing, relaxing, and leisure",7651608277,0.076603
18,1218,13,"Sports, exercise, and recreation",66420929,0.000665
18,1218,14,Religious and spiritual activities,59969625,0.0006
18,1218,15,Volunteer activities,15247250,0.000153
18,1218,16,Telephone calls,277362163,0.002777
18,1218,18,Traveling,551527611,0.005522
18,1218,50,Insufficient detail,87525014,0.000876
19,1219,01,Personal care (incl. sleep),88829372661,0.889308
19,1219,02,Household activities,436225913,0.004367
19,1219,03,Caring for and helping household members,187129180,0.001873
19,1219,04,Caring for and helping nonhousehold members,3427101,0.000034
19,1219,05,Work and work-related activities,1144674441,0.01146
19,1219,06,Education,195036111,0.001953
19,1219,07,Consumer purchases,19540888,0.000196
19,1219,11,Eating and drinking,364959408,0.003654
19,1219,12,"Socializing, relaxing, and leisure",7647550621,0.076563
19,1219,13,"Sports, exercise, and recreation",66420929,0.000665
19,1219,14,Religious and spiritual activities,59969625,0.0006
19,1219,15,Volunteer activities,15247250,0.000153
19,1219,16,Telephone calls,277362163,0.002777
19,1219,18,Traveling,551527611,0.005522
19,1219,50,Insufficient detail,87525014,0.000876
20,1220,01,Personal care (incl. sleep),89072006412,0.891737
20,1220,02,Household activities,426476515,0.00427
20,1220,03,Caring for and helping household members,181703474,0.001819
20,1220,05,Work and work-related activities,1127741085,0.01129
20,1220,06,Education,165356085,0.001655
20,1220,07,Consumer purchases,19540888,0.000196
20,1220,11,Eating and drinking,350886532,0.003513
20,1220,12,"Socializing, relaxing, and leisure",7539410076,0.07548
20,1220,13,"Sports, exercise, and recreation",66420929,0.000665
20,1220,14,Religious and spiritual activities,65014784,0.000651
20,1220,15,Volunteer activities,15247250,0.000153
20,1220,16,Telephone calls,242410353,0.002427
20,1220,18,Traveling,520645276,0.005212
20,1220,50,Insufficient detail,93109256,0.000932
21,1221,01,Personal care (incl. sleep),89072006412,0.891737
21,1221,02,Household activities,426476515,0.00427
21,1221,03,Caring for and helping household members,181703474,0.001819
21,1221,05,Work and work-related activities,1127741085,0.01129
21,1221,06,Education,165356085,0.001655
21,1221,07,Consumer purchases,19540888,0.000196
21,1221,11,Eating and drinking,350886532,0.003513
21,1221,12,"Socializing, relaxing, and leisure",7539410076,0.07548
21,1221,13,"Sports, exercise, and recreation",66420929,0.000665
21,1221,14,Religious and spiritual activities,65014784,0.000651
21,1221,15,Volunteer activities,15247250,0.000153
21,1221,16,Telephone calls,242410353,0.002427
21,1221,18,Traveling,520645276,0.005212
21,1221,50,Insufficient detail,93109256,0.000932
22,1222,01,Personal care (incl. sleep),89089205186,0.891909
22,1222,02,Household activities,429809623,0.004303
22,1222,03,Caring for and helping household members,181703474,0.001819
22,1222,05,Work and work-related activities,1127741085,0.01129
22,1222,06,Education,159853659,0.0016
22,1222,07,Consumer purchases,11072775,0.000111
22,1222,11,Eating and drinking,359354645,0.003598
22,1222,12,"Socializing, relaxing, and leisure",7606474672,0.076152
22,1222,13,"Sports, exercise, and recreation",66420929,0.000665
22,1222,14,Religious and spiritual activities,65014784,0.000651
22,1222,15,Volunteer activities,15247250,0.000153
22,1222,16,Telephone calls,242410353,0.002427
22,1222,18,Traveling,438551225,0.004391
22,1222,50,Insufficient detail,93109256,0.000932
23,1223,01,Personal care (incl. sleep),89145911877,0.892477
23,1223,02,Household activities,448599927,0.004491
23,1223,03,Caring for and helping household members,181703474,0.001819
23,1223,05,Work and work-related activities,1127741085,0.01129
23,1223,06,Education,159853659,0.0016
23,1223,07,Consumer purchases,11072775,0.000111
23,1223,11,Eating and drinking,359354645,0.003598
23,1223,12,"Socializing, relaxing, and leisure",7574740638,0.075834
23,1223,13,"Sports, exercise, and recreation",66420929,0.000665
23,1223,14,Religious and spiritual activities,65014784,0.000651
23,1223,15,Volunteer activities,15247250,0.000153
23,1223,16,Telephone calls,242410353,0.002427
23,1223,18,Traveling,394788264,0.003952
23,1223,50,Insufficient detail,93109256,0.000932
24,1224,01,Personal care (incl. sleep),89145911877,0.892477
24,1224,02,Household activities,448599927,0.004491
24,1224,03,Caring for and helping household members,181703474,0.001819
24,1224,05,Work and work-related activities,1127741085,0.01129
24,1224,06,Education,159853659,0.0016
24,1224,07,Consumer purchases,11072775,0.000111
24,1224,11,Eating and drinking,359354645,0.003598
24,1224,12,"Socializing, relaxing, and leisure",7584875921,0.075935
24,1224,13,"Sports, exercise, and recreation",66420929,0.000665
24,1224,14,Religious and spiritual activities,65014784,0.000651
24,1224,15,Volunteer activities,15247250,0.000153
24,1224,16,Telephone calls,242410353,0.002427
24,1224,18,Traveling,384652981,0.003851
24,1224,50,Insufficient detail,93109256,0.000932
25,1225,01,Personal care (incl. sleep),89178842274,0.892806
25,1225,02,Household activities,474779980,0.004753
25,1225,03,Caring for and helping household members,181703474,0.001819
25,1225,05,Work and work-related activities,1127741085,0.01129
25,1225,06,Education,159853659,0.0016
25,1225,07,Consumer purchases,28006131,0.00028
25,1225,11,Eating and drinking,423116535,0.004236
25,1225,12,"Socializing, relaxing, and leisure",7474618374,0.074832
25,1225,13,"Sports, exercise, and recreation",66420929,0.000665
25,1225,14,Religious and spiritual activities,65014784,0.000651
25,1225,15,Volunteer activities,15247250,0.000153
25,1225,16,Telephone calls,277312179,0.002776
25,1225,18,Traveling,320203006,0.003206
25,1225,50,Insufficient detail,93109256,0.000932
26,1226,01,Personal care (incl. sleep),89224062804,0.893259
26,1226,02,Household activities,474779980,0.004753
26,1226,03,Caring for and helping household members,181703474,0.001819
26,1226,05,Work and work-related activities,1127741085,0.01129
26,1226,06,Education,159853659,0.0016
26,1226,07,Consumer purchases,28006131,0.00028
26,1226,11,Eating and drinking,423116535,0.004236
26,1226,12,"Socializing, relaxing, and leisure",7439710925,0.074482
26,1226,13,"Sports, exercise, and recreation",66420929,0.000665
26,1226,14,Religious and spiritual activities,65014784,0.000651
26,1226,15,Volunteer activities,15247250,0.000153
26,1226,16,Telephone calls,277312179,0.002776
26,1226,18,Traveling,309889924,0.003102
26,1226,50,Insufficient detail,93109256,0.000932
27,1227,01,Personal care (incl. sleep),89311824713,0.894138
27,1227,02,Household activities,469112122,0.004696
27,1227,03,Caring for and helping household members,181703474,0.001819
27,1227,05,Work and work-related activities,1127741085,0.01129
27,1227,06,Education,159853659,0.0016
27,1227,07,Consumer purchases,28006131,0.00028
27,1227,11,Eating and drinking,423116535,0.004236
27,1227,12,"Socializing, relaxing, and leisure",7357616874,0.07366
27,1227,13,"Sports, exercise, and recreation",66420929,0.000665
27,1227,14,Religious and spiritual activities,65014784,0.000651
27,1227,15,Volunteer activities,15247250,0.000153
27,1227,16,Telephone calls,277312179,0.002776
27,1227,18,Traveling,309889924,0.003102
27,1227,50,Insufficient detail,93109256,0.000932
28,1228,01,Personal care (incl. sleep),89311824713,0.894138
28,1228,02,Household activities,469112122,0.004696
28,1228,03,Caring for and helping household members,181703474,0.001819
28,1228,05,Work and work-related activities,1127741085,0.01129
28,1228,06,Education,159853659,0.0016
28,1228,07,Consumer purchases,28006131,0.00028
28,1228,11,Eating and drinking,423116535,0.004236
28,1228,12,"Socializing, relaxing, and leisure",7357616874,0.07366
28,1228,13,"Sports, exercise, and recreation",66420929,0.000665
28,1228,14,Religious and spiritual activities,65014784,0.000651
28,1228,15,Volunteer activities,15247250,0.000153
28,1228,16,Telephone calls,277312179,0.002776
28,1228,18,Traveling,309889924,0.003102
28,1228,50,Insufficient detail,93109256,0.000932
29,1229,01,Personal care (incl. sleep),89324239220,0.894262
29,1229,02,Household activities,469112122,0.004696
29,1229,03,Caring for and helping household members,181703474,0.001819
29,1229,05,Work and work-related activities,1127741085,0.01129
29,1229,06,Education,159853659,0.0016
29,1229,07,Consumer purchases,28006131,0.00028
29,1229,11,Eating and drinking,423116535,0.004236
29,1229,12,"Socializing, relaxing, and leisure",7345202368,0.073536
29,1229,13,"Sports, exercise, and recreation",66420929,0.000665
29,1229,14,Religious and spiritual activities,65014784,0.000651
29,1229,15,Volunteer activities,15247250,0.000153
29,1229,16,Telephone calls,277312179,0.002776
29,1229,18,Traveling,309889924,0.003102
29,1229,50,Insufficient detail,93109256,0.000932
30,1230,01,Personal care (incl. sleep),90697992103,0.908015
30,1230,02,Household activities,367020145,0.003674
30,1230,03,Caring for and helping household members,188839562,0.001891
30,1230,05,Work and work-related activities,1140580989,0.011419
30,1230,06,Education,139446205,0.001396
30,1230,07,Consumer purchases,22316498,0.000223
30,1230,11,Eating and drinking,309484200,0.003098
30,1230,12,"Socializing, relaxing, and leisure",6322179584,0.063294
30,1230,13,"Sports, exercise, and recreation",55465429,0.000555
30,1230,14,Religious and spiritual activities,65014784,0.000651
30,1230,15,Volunteer activities,15247250,0.000153
30,1230,16,Telephone calls,265679946,0.00266
30,1230,18,Traveling,272184906,0.002725
30,1230,50,Insufficient detail,24517314,0.000245
31,1231,01,Personal care (incl. sleep),90737585867,0.908412
31,1231,02,Household activities,356833412,0.003572
31,1231,03,Caring for and helping household members,188839562,0.001891
31,1231,05,Work and work-related activities,1140580989,0.011419
31,1231,06,Education,139446205,0.001396
31,1231,07,Consumer purchases,22316498,0.000223
31,1231,11,Eating and drinking,309484200,0.003098
31,1231,12,"Socializing, relaxing, and leisure",6292772553,0.063
31,1231,13,"Sports, exercise, and recreation",55465429,0.000555
31,1231,14,Religious and spiritual activities,65014784,0.000651
31,1231,15,Volunteer activities,15247250,0.000153
31,1231,16,Telephone calls,265679946,0.00266
31,1231,18,Traveling,272184906,0.002725
31,1231,50,Insufficient detail,24517314,0.000245
32,1232,01,Personal care (incl. sleep),90737585867,0.908412
32,1232,02,Household activities,356833412,0.003572
32,1232,03,Caring for and helping household members,188839562,0.001891
32,1232,05,Work and work-related activities,1140580989,0.011419
32,1232,06,Education,139446205,0.001396
32,1232,07,Consumer purchases,22316498,0.000223
32,1232,11,Eating and drinking,273129406,0.002734
32,1232,12,"Socializing, relaxing, and leisure",6329127347,0.063364
32,1232,13,"Sports, exercise, and recreation",55465429,0.000555
32,1232,14,Religious and spiritual activities,65014784,0.000651
32,1232,15,Volunteer activities,15247250,0.000153
32,1232,16,Telephone calls,265679946,0.00266
32,1232,18,Traveling,272184906,0.002725
32,1232,50,Insufficient detail,24517314,0.000245
33,1233,01,Personal care (incl. sleep),90720811285,0.908244
33,1233,02,Household activities,352108098,0.003525
33,1233,03,Caring for and helping household members,203996580,0.002042
33,1233,05,Work and work-related activities,1140580989,0.011419
33,1233,06,Education,139446205,0.001396
33,1233,07,Consumer purchases,22316498,0.000223
33,1233,11,Eating and drinking,273129406,0.002734
33,1233,12,"Socializing, relaxing, and leisure",6236438776,0.062436
33,1233,13,"Sports, exercise, and recreation",55465429,0.000555
33,1233,14,Religious and spiritual activities,71357663,0.000714
33,1233,15,Volunteer activities,15247250,0.000153
33,1233,16,Telephone calls,265679946,0.00266
33,1233,18,Traveling,364873477,0.003653
33,1233,50,Insufficient detail,24517314,0.000245
34,1234,01,Personal care (incl. sleep),90720811285,0.908244
34,1234,02,Household activities,352108098,0.003525
34,1234,03,Caring for and helping household members,203996580,0.002042
34,1234,05,Work and work-related activities,1140580989,0.011419
34,1234,06,Education,139446205,0.001396
34,1234,07,Consumer purchases,22316498,0.000223
34,1234,11,Eating and drinking,273129406,0.002734
34,1234,12,"Socializing, relaxing, and leisure",6236438776,0.062436
34,1234,13,"Sports, exercise, and recreation",55465429,0.000555
34,1234,14,Religious and spiritual activities,71357663,0.000714
34,1234,15,Volunteer activities,15247250,0.000153
34,1234,16,Telephone calls,265679946,0.00266
34,1234,18,Traveling,364873477,0.003653
34,1234,50,Insufficient detail,24517314,0.000245
35,1235,01,Personal care (incl. sleep),91059434764,0.911634
35,1235,02,Household activities,363145925,0.003636
35,1235,03,Caring for and helping household members,203996580,0.002042
35,1235,05,Work and work-related activities,1130138051,0.011314
35,1235,06,Education,139446205,0.001396
35,1235,07,Consumer purchases,5383142,0.000054
35,1235,11,Eating and drinking,234080055,0.002343
35,1235,12,"Socializing, relaxing, and leisure",5960567122,0.059674
35,1235,13,"Sports, exercise, and recreation",55465429,0.000555
35,1235,14,Religious and spiritual activities,71357663,0.000714
35,1235,15,Volunteer activities,15247250,0.000153
35,1235,16,Telephone calls,265679946,0.00266
35,1235,18,Traveling,357509470,0.003579
35,1235,50,Insufficient detail,24517314,0.000245
36,1236,01,Personal care (incl. sleep),91152123334,0.912562
36,1236,02,Household activities,363145925,0.003636
36,1236,03,Caring for and helping household members,203996580,0.002042
36,1236,05,Work and work-related activities,1130138051,0.011314
36,1236,06,Education,139446205,0.001396
36,1236,07,Consumer purchases,5383142,0.000054
36,1236,11,Eating and drinking,234080055,0.002343
36,1236,12,"Socializing, relaxing, and leisure",5960567122,0.059674
36,1236,13,"Sports, exercise, and recreation",55465429,0.000555
36,1236,14,Religious and spiritual activities,71357663,0.000714
36,1236,15,Volunteer activities,15247250,0.000153
36,1236,16,Telephone calls,265679946,0.00266
36,1236,18,Traveling,264820899,0.002651
36,1236,50,Insufficient detail,24517314,0.000245
37,1237,01,Personal care (incl. sleep),91152123334,0.912562
37,1237,02,Household activities,363145925,0.003636
37,1237,03,Caring for and helping household members,203996580,0.002042
37,1237,05,Work and work-related activities,1130138051,0.011314
37,1237,06,Education,139446205,0.001396
37,1237,07,Consumer purchases,5383142,0.000054
37,1237,11,Eating and drinking,234080055,0.002343
37,1237,12,"Socializing, relaxing, and leisure",5960567122,0.059674
37,1237,13,"Sports, exercise, and recreation",55465429,0.000555
37,1237,14,Religious and spiritual activities,71357663,0.000714
37,1237,15,Volunteer activities,15247250,0.000153
37,1237,16,Telephone calls,265679946,0.00266
37,1237,18,Traveling,264820899,0.002651
37,1237,50,Insufficient detail,24517314,0.000245
38,1238,01,Personal care (incl. sleep),91190818287,0.912949
38,1238,02,Household activities,363145925,0.003636
38,1238,03,Caring for and helping household members,203996580,0.002042
38,1238,05,Work and work-related activities,1130138051,0.011314
38,1238,06,Education,139446205,0.001396
38,1238,07,Consumer purchases,5383142,0.000054
